GeneID	GSM7992864	GSM7992865	GSM7992866	GSM7992867	GSM7992868	GSM7992869	GSM7992870	GSM7992871	GSM7992872	GSM7992873	GSM7992874	GSM7992875
100287102	2	1	1	1	1	1	5	7	3	4	6	5
653635	439	226	399	213	301	378	353	368	202	233	383	322
102466751	11	8	15	6	15	20	10	11	10	8	13	9
107985730	0	0	0	0	0	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	1	1	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0
100996442	20	14	17	14	23	17	32	30	15	21	31	26
729737	52	29	60	35	46	70	240	257	144	186	290	391
102725121	1	0	0	0	1	2	9	7	5	4	5	14
102723897	435	230	381	212	330	369	365	344	209	230	357	293
102465909	4	3	5	6	6	8	6	8	3	3	8	4
107985721	0	0	0	0	0	1	0	0	0	0	0	1
112268260	3	7	4	7	4	6	8	9	4	6	10	12
729759	0	0	0	0	0	0	0	0	0	0	0	0
100132287	83	29	76	32	64	58	125	139	76	93	152	182
105378947	1	1	1	1	1	1	4	3	0	1	4	1
101928626	0	0	0	0	0	0	0	0	0	0	0	0
113219467	4364	4701	3649	3659	4449	4551	2880	2975	3672	3322	4639	6605
81399	1	1	0	1	1	1	1	1	1	1	2	0
100133331	121	51	117	50	104	88	127	138	73	85	135	166
107984841	40	8	43	12	37	25	21	25	17	15	24	32
107984847	55	20	50	13	48	40	33	40	25	21	35	44
107984849	5	1	5	2	5	6	7	6	5	4	8	7
100288069	29	9	29	9	15	18	17	23	11	13	19	22
105378580	9	5	6	4	10	11	18	9	7	13	9	12
400728	5	5	4	14	6	7	13	5	2	4	6	3
79854	16	6	20	2	10	19	9	17	6	11	14	14
643837	315	216	251	139	287	285	218	200	129	225	348	215
107984850	1	0	0	0	0	0	0	0	0	0	0	0
284593	1	1	2	1	1	4	1	0	2	2	2	3
284600	3	2	4	1	0	0	123	145	31	36	56	43
100130417	1	2	1	2	0	1	254	262	49	39	56	26
107985728	2	1	2	2	0	0	518	512	73	58	116	55
148398	284	163	233	95	203	309	1362	1317	385	308	532	421
26155	3671	1973	3234	1322	2886	3733	2082	1985	1507	1689	2727	2903
339451	458	244	551	205	413	487	722	701	280	550	851	662
84069	124	83	194	95	160	222	110	102	68	93	166	261
84808	14	13	21	13	26	23	13	11	8	15	22	33
57801	98	59	89	41	68	73	374	340	114	174	263	130
9636	474	318	361	257	310	445	717	687	437	568	1145	756
375790	14964	12729	15410	9051	12582	16785	21688	20719	10274	11971	19599	16845
100288175	23	14	42	12	19	22	17	26	8	36	30	23
112267874	5	2	7	1	2	2	14	11	5	10	14	7
105378948	22	11	35	11	20	18	18	27	14	35	38	27
401934	0	0	0	0	0	0	1	1	0	1	0	0
54991	439	218	356	166	321	364	332	305	182	238	439	317
254099	0	0	0	0	0	0	0	0	0	0	0	0
406984	0	0	0	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0	0	0	0	0
100506376	0	0	0	0	0	0	0	0	0	0	0	0
254173	0	0	0	0	0	0	0	0	0	0	0	0
8784	2	4	1	1	0	0	24	32	9	49	92	57
7293	16	5	13	5	10	14	0	3	0	1	5	3
51150	8348	6452	6873	4382	5935	7257	12753	11919	5545	7851	12519	9158
126792	1333	902	1065	556	711	891	1802	1650	707	1338	2205	1495
388581	14	3	11	6	9	15	65	78	34	82	121	117
118424	2050	1152	1744	779	1377	1553	1531	1469	941	1079	1802	1537
101928895	27	16	33	18	20	24	61	83	24	40	61	45
6339	46	44	56	38	20	30	154	171	41	60	92	96
116983	1467	624	1573	692	1309	1369	2590	2624	1330	1600	2456	2548
102465434	0	1	0	0	0	0	0	0	0	0	1	2
109623456	6	2	10	3	11	10	10	15	9	12	14	14
126789	522	329	445	197	370	505	560	567	269	433	630	529
54973	2546	1154	2107	900	1765	1930	1877	1793	996	1131	1898	1764
102465435	4	3	5	1	2	3	4	3	2	2	3	5
80772	975	558	746	351	651	706	1012	958	440	731	1242	1029
83756	15	10	10	4	6	11	15	13	4	10	11	11
1855	2716	1474	2374	1137	2029	2438	2175	1944	855	1561	2570	2122
102466740	2	2	2	0	1	0	1	0	0	1	0	0
54587	5100	1821	3771	1037	2706	1242	10034	9717	3615	5024	8073	7540
54998	2764	1380	2152	897	1803	2011	1929	1861	1096	1527	2339	1990
81669	3425	2438	3551	2328	3365	3223	5091	5243	2771	3270	5135	4450
148413	460	268	369	166	322	320	420	406	210	217	324	320
55052	1503	766	1124	559	1147	1109	1138	1068	688	882	1271	1202
107984868	0	1	0	0	1	0	2	2	1	2	0	1
441869	4	3	4	3	1	2	3	11	2	7	4	7
105378585	2	0	0	0	0	0	5	3	1	2	0	1
643965	0	0	0	0	0	0	0	6	1	0	2	0
102724312	2	1	0	0	0	1	3	4	2	2	3	1
107985729	1	1	0	1	0	1	10	3	0	1	5	2
64856	367	393	171	96	78	104	890	788	292	486	846	380
219293	77	30	69	18	55	83	50	50	37	36	55	80
83858	1522	687	1474	591	1322	1842	998	1017	1018	934	1562	1995
55210	2436	1132	2102	797	1969	2403	1378	1271	1109	970	1625	1790
339453	91	40	60	23	26	32	167	140	48	88	153	108
29101	2925	1687	2171	1080	2059	1799	2702	2516	1200	1819	2761	2074
643988	292	155	257	83	202	118	303	282	102	348	495	284
105378586	13	8	15	2	7	4	21	15	5	17	23	17
142678	969	779	935	620	565	626	3300	3289	995	1127	1913	1376
8510	60	57	50	54	58	71	2339	2297	710	435	730	351
984	1927	972	1618	686	1522	1491	1283	1209	895	797	1278	1231
728661	1893	1507	1490	1160	1169	1618	3013	2918	1318	1663	2554	1905
8511	24	41	25	39	34	39	1640	1605	521	310	513	254
728642	1403	644	1288	505	1091	996	996	979	733	624	1031	935
9906	1246	463	986	360	759	529	1869	1853	766	937	1431	1152
112268218	121	69	97	43	80	76	115	118	57	104	134	109
65220	2378	1249	1879	912	1721	1812	2110	2011	1019	1437	2358	1861
2782	18284	11971	14084	7763	14090	14823	13482	12981	8314	9759	15205	12636
105378949	9	12	5	5	6	11	16	13	3	5	24	15
163688	4	1	4	3	8	7	21	25	15	16	19	26
339456	6	7	8	3	7	9	13	9	9	11	25	10
85452	1	0	0	0	0	0	0	0	0	0	0	0
107984872	0	0	0	0	0	0	0	0	0	0	0	0
105378589	0	0	0	0	0	0	0	0	0	0	0	0
2563	0	0	0	0	0	0	0	0	0	0	0	1
105378590	0	0	0	0	0	0	0	0	0	0	0	0
105378591	0	0	0	0	0	0	0	0	0	0	0	0
5590	160	98	123	56	65	81	541	478	142	204	294	215
100506504	22	9	8	3	7	8	13	22	15	9	21	15
199990	1112	951	831	544	572	872	1933	1742	703	1329	2142	1439
112268219	60	56	92	47	55	102	82	94	48	71	99	101
105378593	2	2	6	4	10	1	12	15	12	7	8	3
6497	7356	3900	5626	2366	4790	4415	4697	4469	2463	3029	4587	4181
79906	75	51	79	46	60	63	101	90	60	60	105	121
100129534	12	15	8	15	8	13	31	32	14	14	14	16
11079	4680	3326	3818	2185	3774	4396	5110	4926	2737	3351	5298	4643
5192	773	477	648	336	535	606	875	792	404	582	962	757
9651	266	10	16	11	5	8	18	17	5	28	58	59
55229	1003	511	886	430	748	761	965	879	471	690	1058	770
388585	0	0	0	0	0	0	0	0	0	0	0	0
115110	27	28	26	16	19	20	0	0	1	1	2	0
8764	218	322	297	249	194	179	17	35	23	4	9	2
100996583	1	0	0	1	0	1	0	0	0	0	0	0
127281	1200	489	849	307	725	761	698	637	368	576	955	856
79258	87	49	77	33	55	69	54	55	34	58	89	73
105378597	0	0	0	0	0	0	0	0	0	0	0	0
100287898	1	4	3	3	2	0	2	3	1	1	1	3
105378603	0	0	0	0	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0	0	0	0	0
105378598	0	1	0	0	0	0	0	0	0	0	0	0
107984904	0	0	0	0	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0	0	0	0	0
440556	5	4	0	0	0	0	14	17	2	2	1	0
63976	90	33	12	6	0	2	129	134	39	13	10	6
100422968	0	0	0	0	0	0	0	0	0	0	0	0
105378606	2	0	0	0	0	0	0	0	0	0	0	0
107984909	0	0	0	0	0	0	0	1	0	1	1	0
105378605	0	0	0	0	0	0	0	0	0	0	0	0
105378604	29	16	25	9	8	25	46	51	31	36	26	43
27237	38	5	5	2	3	1	37	32	11	19	40	9
1953	283	67	64	20	75	103	647	576	247	240	374	283
105378608	0	0	0	0	1	0	0	0	0	0	0	0
693135	0	0	0	0	0	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0	0	0	0	0	0
127262	1394	867	1068	617	1166	1367	1811	1653	847	1530	2297	1763
49856	565	303	460	206	379	392	538	480	242	293	478	362
7161	6	2	14	7	10	7	7	8	5	3	7	2
105378610	1	0	1	0	2	0	0	0	0	0	0	0
105378609	0	0	0	0	0	0	0	0	0	0	0	0
57212	891	451	769	334	586	579	951	938	425	540	854	555
148870	1	1	2	1	0	0	2	4	1	4	3	0
388588	49	33	28	16	13	7	220	221	51	57	94	32
57470	1607	1059	1366	665	1198	1294	1731	1581	780	1114	1738	1477
9731	1170	629	993	476	1021	965	957	1038	545	795	1293	1073
1677	269	140	266	104	209	209	199	169	119	120	205	201
107984910	2	0	2	1	4	4	0	0	3	0	0	5
339448	776	328	614	225	610	609	561	599	379	379	536	474
100133612	5	1	3	2	1	2	0	0	1	1	2	7
728716	0	0	0	0	0	0	0	0	0	0	0	0
105376672	0	0	0	0	0	0	0	0	0	0	0	0
105376673	0	0	0	0	0	0	0	0	0	0	0	0
284661	0	0	0	0	0	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0	0	0	0	0	0
107985376	0	0	0	0	0	0	0	0	0	0	0	0
55966	22	0	0	0	1	0	0	0	0	0	0	0
105376680	0	0	0	0	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0	0	0	0	0
107984911	0	0	0	0	0	0	0	0	0	0	0	0
105376686	0	0	0	0	0	0	0	0	0	0	0	0
100616421	0	0	0	0	0	0	0	0	0	0	0	0
261734	550	261	568	186	412	365	490	460	229	220	368	302
8514	149	163	128	100	68	94	559	527	109	235	333	126
26038	3	2	1	0	1	1	3	4	1	3	8	7
105376687	0	0	0	0	0	0	0	0	0	0	0	0
6146	8723	6202	6595	3591	6705	6041	8463	8111	4754	6144	8744	6353
107985733	12	17	13	14	19	18	63	67	24	37	50	40
102724450	6	4	2	5	8	8	20	25	6	15	29	24
388591	180	207	248	299	265	499	395	413	203	222	339	394
23463	4996	2154	3930	1489	3963	3813	3569	3355	1888	2702	3948	3326
148645	3	1	1	3	3	1	0	3	2	1	2	1
390992	0	0	0	0	0	0	0	0	0	0	0	0
387509	280	155	218	121	233	289	834	792	362	546	877	590
11332	3958	1788	3173	1503	3183	3301	1414	1278	1118	1680	2690	2160
54626	76	24	81	26	165	89	26	20	5	0	9	4
83715	19	13	30	7	23	25	27	26	14	18	30	27
100422975	0	0	0	0	0	0	0	0	0	0	0	0
8718	210	93	274	117	213	216	288	267	140	230	372	394
57449	1149	614	1338	551	1187	1434	1711	1701	771	1258	2056	2105
79707	652	312	619	260	515	689	378	352	267	253	457	571
80835	1	0	0	0	0	0	1	1	0	0	0	0
107984912	0	0	0	0	0	0	1	0	0	0	0	0
3104	287	177	245	130	207	215	301	279	167	215	331	274
9903	1055	669	774	401	745	967	1344	1278	480	1062	1607	1284
107984913	16	5	6	3	7	5	39	25	7	15	37	17
148479	954	626	847	372	668	658	1083	1018	463	674	1041	699
90326	800	471	682	338	616	679	734	672	399	531	834	678
55735	1734	963	1424	775	1401	1721	1229	1111	942	1026	1446	1654
100505887	0	0	0	0	0	0	0	0	0	0	0	0
110841581	8	1	3	0	4	1	0	2	2	4	3	1
23261	796	497	596	290	638	478	712	696	339	445	725	472
105376692	0	0	0	0	0	0	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0	0	0	0	0	0
101928836	0	0	0	0	0	0	2	0	0	0	0	0
105376691	0	0	0	0	0	0	0	0	0	0	0	0
105376689	9	1	9	1	8	0	7	0	1	4	8	0
9341	5012	3038	3906	2036	4738	4329	4943	4624	2828	3629	4771	4468
8863	379	150	350	107	395	214	340	318	81	164	218	65
10911	1	0	0	0	0	1	3	2	4	0	1	0
3604	12	95	20	58	13	33	5	13	8	2	9	10
11315	5748	3366	4421	2316	4361	4062	3879	3753	2449	3006	4440	3398
54206	8260	9319	6499	5594	5647	5074	19927	19266	12415	10650	15937	8904
107984915	0	0	0	0	0	1	0	1	0	0	0	0
102724539	1	0	0	1	1	1	0	1	1	0	1	1
105376695	0	1	0	0	1	0	1	0	0	0	0	0
50651	163	166	133	131	87	111	244	232	78	151	218	135
473	4509	2470	3648	1785	3162	2948	3057	2976	2336	2173	3297	3315
102724552	0	2	0	2	1	1	1	0	0	0	3	1
106632271	0	0	0	0	0	0	0	0	0	0	0	0
2023	61761	42721	47987	22451	47171	46831	24174	22667	22308	23152	36793	33834
102465436	0	1	2	0	1	2	1	1	1	0	1	2
100505975	2	5	13	4	5	11	12	6	6	2	8	10
112268261	0	0	0	0	0	0	0	0	0	0	0	0
765	0	0	0	0	0	0	0	1	0	0	0	0
155184	0	0	0	0	0	0	0	0	0	0	0	0
6518	2	2	1	1	1	1	129	138	494	5	5	6
80045	385	266	318	179	344	398	210	215	165	122	189	158
106614088	483	350	1069	530	882	1155	454	411	232	475	669	663
407040	3	1	2	1	1	4	4	2	2	1	2	0
102724571	46	48	61	29	36	20	141	114	64	93	110	75
9563	9795	8098	9463	6589	8322	11274	13338	12635	5263	7215	11639	6415
80176	2109	1099	1957	692	1544	1726	3176	3117	1806	1299	1925	1415
100506022	71	32	35	15	47	32	97	86	36	41	62	28
84275	360	225	256	114	286	276	221	190	148	241	337	303
199953	831	360	751	239	476	694	498	481	289	475	780	659
107985734	10	7	6	5	5	5	7	8	3	5	8	9
105376712	0	0	0	0	0	0	0	0	0	0	0	0
5293	1007	461	914	435	721	1219	376	377	207	632	960	710
644997	0	0	0	0	0	0	0	0	0	0	0	0
101929074	22	18	19	7	10	11	74	58	39	53	84	39
22883	10691	7214	8819	5121	8794	9647	9472	9295	5389	7163	11179	8560
56998	923	502	663	293	623	702	1314	1278	593	760	1200	818
105376717	51	23	31	14	32	41	46	47	24	33	57	31
84328	1030	577	776	351	876	787	983	878	593	718	1028	840
64802	413	263	343	159	354	339	490	429	289	308	511	392
113391335	0	0	0	0	0	0	0	0	2	1	0	2
100847055	0	0	0	0	0	0	0	0	0	0	0	0
116362	1	1	0	2	0	1	1	4	2	3	4	2
10277	2716	1338	2081	966	1885	2122	3094	3099	1560	1789	2658	2054
23095	3566	1983	2620	1362	3112	3189	2653	2573	1904	1823	2721	2590
105376725	0	0	0	1	0	0	0	1	1	0	0	0
5226	7770	5750	5540	3585	4687	6146	10679	10200	3968	8641	13051	5086
100526739	151	50	105	27	93	80	67	65	38	49	70	63
378708	190	68	118	34	120	101	67	76	44	52	78	71
1325	6	4	7	2	6	8	12	12	8	5	10	14
1676	2220	1303	1769	768	1731	1839	2221	2179	1267	1792	2610	2092
5195	708	439	597	262	506	589	791	713	416	496	788	637
54897	73	29	29	20	27	25	8	3	14	4	14	11
105376733	0	0	0	0	0	0	0	0	0	0	0	0
105376735	0	0	0	0	0	0	0	0	0	0	0	0
148345	0	0	0	0	0	0	2	1	1	0	1	0
23435	5106	2514	4280	1605	4456	4358	2861	2790	2335	2215	3272	3360
10747	19	11	29	20	16	31	32	37	25	21	20	57
6723	4341	2335	3564	1370	3424	4295	2377	2287	1882	2108	3520	3970
5394	3070	1292	2608	992	2623	2629	1482	1426	1191	1084	1741	1708
105376736	71	32	62	21	44	50	44	37	20	34	53	39
2475	3661	1794	3267	1516	3349	3728	2085	2169	1786	1543	2314	2511
100873935	32	21	32	13	34	31	16	12	19	13	30	25
10218	1	0	1	0	0	2	3	0	9	0	1	0
29914	643	326	573	218	468	522	390	391	238	317	446	451
105376737	0	0	0	0	0	0	0	0	0	0	0	0
105376739	0	0	0	0	0	0	0	0	0	0	0	0
105376740	0	0	0	0	0	0	0	0	0	0	0	0
57540	2	0	0	0	0	0	1	1	1	2	1	5
112268221	0	0	0	0	0	0	0	0	1	1	0	1
101929181	0	0	0	0	0	0	0	0	0	0	0	0
26232	12	8	3	2	1	3	362	355	70	266	393	244
93611	215	139	152	90	116	173	634	595	201	445	765	532
26270	121	66	98	38	76	62	236	239	71	182	344	179
10459	1190	431	797	265	666	617	792	643	388	546	939	626
374946	7	4	2	0	2	0	21	25	9	24	43	27
57085	1114	586	931	445	742	697	572	567	311	496	792	547
284498	190	149	137	100	125	110	198	199	77	105	150	89
102724659	0	0	1	0	0	0	0	0	0	0	0	0
4524	1018	850	723	553	648	532	1003	935	451	539	818	489
1185	1358	1246	1023	765	881	969	1014	1003	569	886	1311	704
100379251	159	136	138	93	121	118	120	103	85	91	148	94
4878	8	8	27	3	11	16	4	5	4	6	7	6
4879	1	0	0	2	0	5	0	0	4	3	0	2
26829	0	0	0	0	0	0	0	0	0	0	0	0
90231	2658	1810	2282	1204	1991	2336	2795	2540	1229	1565	2590	2043
5351	22905	22308	20065	13102	20800	22794	27640	26404	10965	14015	21808	14584
9927	4757	2796	3971	2020	3867	4668	3202	3088	1955	2590	4080	3724
60672	534	294	403	209	355	429	353	309	214	277	483	431
102466982	1	0	0	2	1	1	2	0	0	1	1	1
943	4	4	1	5	3	19	0	0	2	3	4	13
102465836	7	1	3	2	2	3	2	1	2	3	0	1
7133	1002	420	579	336	390	274	321	306	254	256	421	100
100616438	0	0	0	0	0	0	0	0	0	0	0	0
107984917	1	1	0	0	0	0	3	1	4	0	1	0
55187	1882	1112	1519	905	1742	2302	1135	1217	1072	771	1143	1386
677885	5	1	5	0	1	6	5	1	1	1	3	2
105376744	0	1	0	0	0	0	1	0	0	0	0	1
9249	146	75	53	220	19	251	1039	1044	615	69	95	104
102466722	0	0	0	0	0	0	1	1	0	0	0	0
343066	1	0	0	0	0	0	2	5	1	0	0	0
126767	0	0	0	0	0	0	0	0	0	0	0	0
93190	0	0	0	0	0	0	0	0	0	0	0	0
390999	0	0	1	0	2	0	0	0	0	0	0	0
65121	0	0	1	0	0	0	0	0	0	0	0	0
105376745	0	0	0	0	0	0	0	0	0	0	0	0
440560	0	0	0	0	0	0	0	0	0	0	0	0
343069	5	4	3	0	4	3	3	5	1	3	3	2
65122	0	0	3	0	0	0	0	0	0	0	0	0
400735	0	0	1	0	0	0	0	0	0	0	0	0
343071	0	0	0	0	0	0	0	0	0	0	0	0
441871	0	0	2	0	0	0	0	0	0	0	0	0
440561	0	0	1	0	0	0	0	0	0	0	0	0
101929983	0	0	1	1	0	0	0	0	0	0	0	0
649330	0	0	0	0	0	0	0	0	1	0	0	0
441873	0	0	0	0	0	0	0	0	0	0	0	0
649324	0	1	1	0	0	0	0	0	0	0	0	0
440563	0	0	0	0	0	1	0	2	0	0	0	1
645354	0	1	1	0	0	0	0	0	0	0	0	0
645359	0	0	0	0	0	0	0	0	0	0	0	0
101060301	0	0	0	0	0	1	0	0	1	0	0	0
343070	0	0	0	0	0	0	0	0	0	0	0	0
400736	0	0	1	0	0	0	0	0	0	0	0	0
391003	0	0	0	0	0	0	0	0	0	0	0	0
343068	0	0	0	0	0	0	0	0	0	0	0	0
391002	0	0	2	0	0	0	0	0	0	0	0	0
645382	0	0	0	0	0	0	0	0	0	0	0	0
653619	0	0	0	0	0	0	0	0	0	0	0	0
729528	0	0	2	1	0	0	0	0	0	0	0	0
645414	0	0	0	0	0	0	0	0	0	0	0	0
391004	0	0	0	0	0	0	0	0	0	0	0	0
645425	0	0	0	0	0	0	0	0	0	0	0	0
126755	0	0	0	0	0	0	0	0	0	0	0	1
102724856	0	0	0	0	0	0	0	0	0	0	0	0
107984918	0	0	0	0	0	0	0	0	0	0	0	0
10630	197	286	23	296	4	395	25	22	176	123	176	111
107984919	0	1	0	1	0	0	0	0	0	0	0	0
105378612	0	0	0	0	0	0	0	0	0	0	0	0
105376756	0	0	0	0	0	0	0	0	0	0	0	0
7799	1437	872	1190	639	1300	1285	1180	1190	874	780	1213	1055
23254	500	193	315	130	338	156	630	617	520	352	541	501
107985467	0	0	0	0	0	0	0	0	0	0	0	0
107985468	0	0	0	0	0	0	0	0	0	0	0	0
105376762	0	0	0	0	0	0	0	0	0	0	0	0
105376759	1	0	0	0	0	0	3	3	2	0	0	0
107985469	0	0	0	0	0	0	0	0	0	0	0	0
200197	5	1	1	1	2	1	15	24	14	6	6	3
55092	488	348	403	276	351	441	578	596	352	184	355	181
727684	1	0	0	0	0	1	0	1	0	0	0	0
114827	2	12	0	7	0	8	24	28	15	7	10	7
101927417	2	4	0	5	0	6	4	3	5	2	2	0
101927441	1	0	0	0	1	2	2	3	0	2	1	1
79180	3391	1536	2917	1055	2546	3395	1839	1697	1012	1477	2296	1950
11330	2	0	1	0	0	0	1	0	2	0	2	0
63036	0	2	0	0	0	0	0	1	0	0	0	0
